training_id,training_type,building_id,unit_id,name,level,wood_cost,gold_cost,population_cost,population_add,wood_per_hit,base_attack,max_count,wood_cost_increment,gold_cost_increment,prerequisite_text,enabled,source,notes,unit_name,model_name,health,armor,attack_rate,move_speed,repair_per_second,repair_range
#中文名:训练ID,训练类型,建筑ID,单位ID,名称,等级,木材消耗,金币消耗,人口消耗,增加人口上限,每次攻击获得木材,基础攻击力,最大数量,木材消耗递增,金币消耗递增,前置条件说明,是否启用,来源,备注,,,,,,,,
#types:string,enum,string,string,string,number,number,number,number,number,number,number,number,number,number,string,boolean,string,string,string,string,number,number,number,number,number,number
train_lumberjack_01,unit,building_main_city,unit_lumberjack_01,农民LV1,1,10,0,1,0,1,22,5,0,0,基地LV1,1,建筑/行12,,npc_survival_lumberjack,,300,1,0.5,300,0,0
train_lumberjack_02,unit,building_main_city,unit_lumberjack_02,农民LV2,2,100,0,1,0,2,52,3,0,0,基地LV1,1,建筑/行13,,,,,,0.5,,,
train_lumberjack_03,unit,building_main_city,unit_lumberjack_03,农民LV3,3,500,0,1,0,3,202,3,0,0,基地LV1,1,建筑/行14,,,,,,0.5,,,
train_lumberjack_04,unit,building_main_city,unit_lumberjack_04,农民LV4,4,1000,0,2,0,5,502,3,0,0,基地LV2,1,建筑/行15,,,,,,0.5,,,
train_lumberjack_05,unit,building_main_city,unit_lumberjack_05,农民LV5,5,5000,100,3,0,10,1002,3,0,0,基地LV3,1,建筑/行16,,,,,,0.5,,,
train_lumberjack_06,unit,building_main_city,unit_lumberjack_06,农民LV6,6,12000,1000,3,0,20,2002,3,0,0,基地LV3,1,建筑/行17,,,,,,0.5,,,
train_lumberjack_07,unit,building_main_city,unit_lumberjack_07,农民LV7,7,30000,3000,3,0,40,4002,3,0,0,基地LV4,1,建筑/行18,,,,,,0.5,,,
train_lumberjack_08,unit,building_main_city,unit_lumberjack_08,农民LV8,8,50000,5000,3,0,80,8002,-1,0,0,基地LV4,1,建筑/行19,,,,,,0.5,,,
train_repairer_01,unit,building_main_city,unit_repairer_01,修理工1,1,100,0,1,0,0,0,5,0,0,基地LV1,1,建筑/行20,,npc_survival_repairer,models/heroes/undying/undying.vmdl,1000,2,1,300,10000,200
train_repairer_02,unit,building_main_city,unit_repairer_02,修理工2,2,0,1000,1,0,0,0,2,0,0,基地LV1,1,建筑/行21,,npc_survival_repairer,models/heroes/undying/undying_flesh_golem.vmdl,2000,5,1,320,20000,240
train_population_01,population_upgrade,building_farm,,人口训练1,1,200,0,0,1,0,0,5,50,0,农场LV1,1,建筑/行34,,,,,,,,,
train_population_02,population_upgrade,building_farm,,人口训练2,2,1000,0,0,2,0,0,5,250,0,农场LV1,1,建筑/行35,,,,,,,,,
train_population_03,population_upgrade,building_farm,,人口训练3,3,2000,0,0,3,0,0,5,500,0,农场LV2,1,建筑/行36,,,,,,,,,
train_population_04,population_upgrade,building_farm,,人口训练4,4,10000,1000,0,4,0,0,5,2500,1000,农场LV3,1,建筑/行37,,,,,,,,,
train_population_05,population_upgrade,building_farm,,人口训练5,5,50000,5000,0,5,0,0,5,30000,1000,农场LV4,1,建筑/行38,,,,,,,,,
train_population_06,population_upgrade,building_farm,,人口训练6,6,700000,700000,0,5,0,0,100,200000,200000,农场LV5,1,建筑/行39,,,,,,,,,
