skill_id,skill_name,description,trigger_type,trigger_chance_pct,trigger_attack_count,target_scope,area_shape,area,damage_timing,duration,damage_interval,damage_multiplier,max_targets,attack_armor_reduction,enabled,notes,buff_id
#中文名:技能ID,技能名称,技能描述,触发类型,触发几率(%),触发所需攻击次数,目标范围,范围形状,范围,伤害时机,持续时间,伤害间隔,伤害倍率,最大目标数,攻击减甲,是否启用,备注,关联Buff ID
#types:string,string,string,string,number,number,string,string,list,string,number,number,number,number,number,boolean,string,string
critical_strike_lv01,致命一击LV1,13%概率造成5倍普通攻击伤害,attack_chance,13,,single,none,,instant,,,5,1,,1,,
critical_strike_lv02,致命一击LV2,16%概率造成5倍普通攻击伤害,attack_chance,16,,single,none,,instant,,,5,1,,1,,
critical_strike_lv03,致命一击LV3,19%概率造成5倍普通攻击伤害,attack_chance,19,,single,none,,instant,,,5,1,,1,,
critical_strike_lv04,致命一击LV4,22%概率造成5倍普通攻击伤害,attack_chance,22,,single,none,,instant,,,5,1,,1,,
critical_strike_lv05,致命一击LV5,22%概率造成5倍普通攻击伤害,attack_chance,22,,single,none,,instant,,,5,1,,1,Lv5沿用录像最高档数值；本次仅修正技能等级编号，不外推新数值。,
bone_cannon_lv01,碎骨重炮LV1,每攻击9次下一击必定造成10倍暴击,attack_counter,,9,single,none,,instant,,,10,1,,1,,
bone_cannon_lv02,碎骨重炮LV2,每攻击8次下一击必定造成10倍暴击,attack_counter,,8,single,none,,instant,,,10,1,,1,,
bone_cannon_lv03,碎骨重炮LV3,每攻击7次下一击必定造成10倍暴击,attack_counter,,7,single,none,,instant,,,10,1,,1,,
bone_cannon_lv04,碎骨重炮LV4,每攻击6次下一击必定造成10倍暴击,attack_counter,,6,single,none,,instant,,,10,1,,1,,
bone_cannon_lv05,碎骨重炮LV5,每攻击6次下一击必定造成10倍暴击,attack_counter,,6,single,none,,instant,,,10,1,,1,Lv5沿用录像最高档数值；本次仅修正技能等级编号，不外推新数值。,
death_grenade_lv01,死神榴弹炮Lv1,暴击时对300码范围造成该次暴击伤害200%,on_critical_hit,,,multi,circle,300,instant,,,2,,,1,,
laser_lv01,激光LV1,持续造成攻击力120%伤害，同目标每秒递增5%，最高500%,on_attack,,,single,none,,periodic,,1,1.2,,,1,同目标递增上限500%,
laser_lv02,激光LV2,持续造成攻击力140%伤害，同目标每秒递增5%，最高500%,on_attack,,,single,none,,periodic,,1,1.4,,,1,同目标递增上限500%,
laser_lv03,激光LV3,持续造成攻击力160%伤害，同目标每秒递增5%，最高500%,on_attack,,,single,none,,periodic,,1,1.6,,,1,同目标递增上限500%,
laser_lv04,激光LV4,持续造成攻击力180%伤害，同目标每秒递增5%，最高500%,on_attack,,,single,none,,periodic,,1,1.8,,,1,同目标递增上限500%,
laser_lv05,激光LV5,持续造成攻击力180%伤害，同目标每秒递增5%，最高500%,on_attack,,,single,none,,periodic,,1,1.8,,,1,同目标递增上限500%；Lv5沿用录像最高档数值；本次仅修正技能等级编号，不外推新数值。,
arcane_cannon_lv01,魔能炮LV1,击杀后5秒内伤害+10%，最多4层,on_kill,,,self,none,,buff,5,,0.1,4,,1,,buff_arcane_cannon_damage
arcane_cannon_lv02,魔能炮LV2,击杀后5秒内伤害+10%，最多5层,on_kill,,,self,none,,buff,5,,0.1,5,,1,,buff_arcane_cannon_damage
arcane_cannon_lv03,魔能炮LV3,击杀后5秒内伤害+10%，最多6层,on_kill,,,self,none,,buff,5,,0.1,6,,1,,buff_arcane_cannon_damage
arcane_cannon_lv04,魔能炮LV4,击杀后5秒内伤害+10%，最多7层,on_kill,,,self,none,,buff,5,,0.1,7,,1,,buff_arcane_cannon_damage
