member_id,encounter_id,sequence_index,location_id,archetype_id,spawn_count,max_alive,respawn_policy,respawn_seconds,reward_profile_id,spawn_mode,spawn_target_name,spawn_delay_seconds,completion_scope,enabled,notes
#中文名:成员ID,遭遇ID,顺序,地点ID,怪物原型ID,初始生成数,最大存活数,刷新策略,刷新秒数,奖励方案ID,生成方式,固定生成点,下一成员延迟秒数,完成范围,是否启用,备注
#types:string,string,number,string,string,number,number,enum,number,string,enum,string,number,enum,boolean,string
practice_wood,encounter_challenge_01,1,challenge_01_room,humanoid_white_melee,8,8,maintain_count,0.5,reward_practice_wood_100,maintain_count,,0,member_kill,1,木材练功房；采用N1第1波战斗数值。
practice_gold,encounter_challenge_02,1,challenge_02_room,humanoid_red_axe,8,8,maintain_count,0.5,reward_practice_gold_100,maintain_count,,0,member_kill,1,金币练功房；采用N1第2波战斗数值。
practice_attribute,encounter_challenge_03,1,challenge_03_room,skeleton_melee,8,8,maintain_count,0.5,reward_practice_attribute_10,maintain_count,,0,member_kill,1,属性练功房；采用N1第3波战斗数值。
practice_greater_attribute,encounter_challenge_04,1,challenge_04_room,orc_large_melee,8,8,maintain_count,0.5,reward_practice_attribute_100_gold_1000,maintain_count,,0,member_kill,1,大属性练功房；采用N1第4波战斗数值。
challenge_05_boss,encounter_challenge_05,1,challenge_05_room,boss_dreadlord,1,1,none,0,,single,,0,encounter_complete,1,合成宝石Boss
challenge_06_boss,encounter_challenge_06,1,challenge_06_room,undead_red_mage_large,1,1,none,0,,single,,0,encounter_complete,1,冰霜之地Boss
challenge_07_boss,encounter_challenge_07,1,challenge_07_room,golem_green_fire,1,1,none,0,,single,,0,encounter_complete,1,熔火核心低阶Boss
challenge_08_boss,encounter_challenge_08,1,challenge_08_room,boss_blade_demon,1,1,none,0,,single,,0,encounter_complete,1,熔火核心高阶Boss
challenge_09_boss,encounter_challenge_09,1,challenge_09_room,boss_twinblade_demon,1,1,none,0,,single,,0,encounter_complete,1,冰烬挽歌Boss
boss_sin_pride,encounter_challenge_10,1,challenge_10_room,sin_pride,1,1,none,0,,sequential,challenge_10_stage_01_spawn,2,encounter_complete,1,傲慢；临时测试强度待平衡。
boss_sin_greed,encounter_challenge_10,2,challenge_10_room,sin_greed,1,1,none,0,,sequential,challenge_10_stage_01_spawn,2,encounter_complete,1,贪婪；临时测试强度待平衡。
boss_sin_lust,encounter_challenge_10,3,challenge_10_room,sin_lust,1,1,none,0,,sequential,challenge_10_stage_01_spawn,2,encounter_complete,1,色欲；临时测试强度待平衡。
boss_sin_envy,encounter_challenge_10,4,challenge_10_room,sin_envy,1,1,none,0,,sequential,challenge_10_stage_01_spawn,2,encounter_complete,1,嫉妒；临时测试强度待平衡。
boss_sin_gluttony,encounter_challenge_10,5,challenge_10_room,sin_gluttony,1,1,none,0,,sequential,challenge_10_stage_01_spawn,2,encounter_complete,1,暴食；临时测试强度待平衡。
boss_sin_wrath,encounter_challenge_10,6,challenge_10_room,sin_wrath,1,1,none,0,,sequential,challenge_10_stage_01_spawn,2,encounter_complete,1,暴怒；临时测试强度待平衡。
boss_sin_sloth,encounter_challenge_10,7,challenge_10_room,sin_sloth,1,1,none,0,,sequential,challenge_10_stage_01_spawn,0,encounter_complete,1,懒惰；临时测试强度待平衡。
boss_ten_sin_01,encounter_challenge_11,1,challenge_11_room,ten_sin_01,1,1,none,0,,simultaneous,challenge_11_stage_01_spawn,0,encounter_complete,1,十宗罪1；临时测试强度待平衡。
boss_ten_sin_02,encounter_challenge_11,2,challenge_11_room,ten_sin_02,1,1,none,0,,simultaneous,challenge_11_stage_02_spawn,0,encounter_complete,1,十宗罪2；临时测试强度待平衡。
boss_ten_sin_03,encounter_challenge_11,3,challenge_11_room,ten_sin_03,1,1,none,0,,simultaneous,challenge_11_stage_03_spawn,0,encounter_complete,1,十宗罪3；临时测试强度待平衡。
boss_ten_sin_04,encounter_challenge_11,4,challenge_11_room,ten_sin_04,1,1,none,0,,simultaneous,challenge_11_stage_04_spawn,0,encounter_complete,1,十宗罪4；临时测试强度待平衡。
boss_ten_sin_05,encounter_challenge_11,5,challenge_11_room,ten_sin_05,1,1,none,0,,simultaneous,challenge_11_stage_05_spawn,0,encounter_complete,1,十宗罪5；临时测试强度待平衡。
boss_ten_sin_06,encounter_challenge_11,6,challenge_11_room,ten_sin_06,1,1,none,0,,simultaneous,challenge_11_stage_06_spawn,0,encounter_complete,1,十宗罪6；临时测试强度待平衡。
boss_ten_sin_07,encounter_challenge_11,7,challenge_11_room,ten_sin_07,1,1,none,0,,simultaneous,challenge_11_stage_07_spawn,0,encounter_complete,1,十宗罪7；临时测试强度待平衡。
boss_ten_sin_08,encounter_challenge_11,8,challenge_11_room,ten_sin_08,1,1,none,0,,simultaneous,challenge_11_stage_08_spawn,0,encounter_complete,1,十宗罪8；临时测试强度待平衡。
boss_ten_sin_09,encounter_challenge_11,9,challenge_11_room,ten_sin_09,1,1,none,0,,simultaneous,challenge_11_stage_09_spawn,0,encounter_complete,1,十宗罪9；临时测试强度待平衡。
boss_ten_sin_10,encounter_challenge_11,10,challenge_11_room,ten_sin_10,1,1,none,0,,simultaneous,challenge_11_stage_10_spawn,0,encounter_complete,1,十宗罪10；临时测试强度待平衡。
